budget,id,overview,popularity,release_date,revenue,title,vote_average,vote_count,release_year,return
350000.0,87874.0,"A team of archaeologists with unplaceable accents unearth a skeleton at a dig in an Arizona quarry. The Native Americans on the dig instantly recognize it as the remains of a werewolf, so the team leaders immediately take it to their lab and stare at it. Natalie, one of the team members, thinks it's absolutely fascinating, but Yuri siezes on greater ambitions when one of the dig assistants, who injured themself on the remains, becomes infected and turns into a werewolf in full view of hospital personnel. Yuri then conducts an experiment infecting other people in town to see if they turn into werewolves as well. When Paul arrives at the lab to assist in analyzing the remains, Yuri infects him, too. After Paul's transformation (under a week-long full moon), Natalie tries to save him.",0.475216,1995-01-01,0.0,Werewolf,2.3,9.0,1995,0.0
8000000.0,94440.0,"Lenny Brown moves to California to find his fortune in tax shelter investments. When the federal government changes the tax laws, poor Lenny finds himself $700,000 in hock with nowhere to turn. His friend, Joel, introduces him to cocaine to give Lenny that needed ""boost"". What ensues next is a descent into drug addiction and insanity as Lenny tries to regain control of his life, all the while needing that extra ""boost"".",0.964399,1988-12-23,784990.0,The Boost,5.3,12.0,1988,0.09812375
0.0,1870.0,"In the second episode of the trilogy Fantômas kidnaps distinguished scientist professor Marchand with the aim to develop a super weapon that will enable him to menace the world. Fantômas is also planning to abduct a second scientist, professor Lefebvre.",6.212713,1965-12-07,0.0,Fantomas Unleashed,6.7,77.0,1965,0.0
0.0,259171.0,A young Austrian soldier in World War I fights his way through the Alps to rescue his Italian girlfriend and escape the impending explosion that will rock the mountain.,1.82058,2014-03-14,0.0,The Silent Mountain,6.3,9.0,2014,0.0
0.0,41023.0,"We meet Doctor Lloyd Clayton at the funeral of his twin brother, evil magician Elwyn. Zolarr, Elwyn's hunchbacked servant, acccuses Lloyd of Elwyn's murder, but Lloyd claims it was self-defense. Lloyd's niece Gayle and her fiance Harper soon find that Elwyn's evil influence is still at work.",0.48079,1943-04-12,0.0,Dead Men Walk,4.6,4.0,1943,0.0
24000000.0,70868.0,"A comedy centered on the life of Kate Reddy, a finance executive who is the breadwinner for her husband and two kids.",6.562982,2011-09-16,30551495.0,I Don't Know How She Does It,5.0,142.0,2011,1.2729789583333333
12000000.0,860.0,"High School student David Lightman (Matthew Broderick) has a talent for hacking. But while trying to hack into a computer system to play unreleased video games, he unwittingly taps into the Defense Department's war computer and initiates a confrontation of global proportions! Together with his girlfriend (Ally Sheedy) and a wizardly computer genius (John Wood), David must race against time to outwit his opponent...and prevent a nuclear Armageddon.",8.321647,1983-06-03,79567667.0,WarGames,7.0,517.0,1983,6.630638916666666
25500000.0,94047.0,"Inspired by a true story. Jun Shik works for Tatsuo's grandfather's farm while Korea is colonized by Japan, but he has a dream to participate in Tokyo Olympics as a marathon runner. Tatsuo also aims to become a marathon runner, so the two are in rivalry. But war breaks out and they both are forced to enlist in the army. Tatsuo becomes the head of defense in Jun Shik's unit and he devises a scheme but fails. Jun Shik and Tatsuo are captured by the Soviets. They run away but soon are captured by Germans and forced to separate. In 1944, they meet again at the shores of Normandy.",5.74216,2011-12-21,0.0,My Way,7.6,75.0,2011,0.0
0.0,295144.0,"Dramatisation of the true story of the life of Neil ""Nello"" Baldwin.  Born with a mild learning disability but without the burden of social embarrassment &amp; how his inexhaustible ability to see the good in any situation overcame any stigma society tried to label him with.",3.448294,2015-02-19,0.0,Marvellous,7.3,38.0,2015,0.0
0.0,126516.0,"In the formally ravishing Every-Night Dreams, set in the dockside neighborhoods of Tokyo, a single mother works tirelessly as a Ginza bar hostess to ensure a better life for her young son—until her long-lost husband returns.",0.342271,1933-06-08,0.0,Every-Night Dreams,7.4,5.0,1933,0.0
0.0,42809.0,"Handsome young Katsuta tries to follow the yakuza code, but even his boss doesn't believe in it. Diamond Fuyu is less ethical, and allows the idiotic Tetsu to trick a schoolgirl he fancies, Hanako, into a type of bonded prostitution. Because of gang conflict, the Izu family (to whom Katsuta belongs) has their last gambling den taken over, and he seeks revenge. This brings him back into contact with a former lover who is also a card trickster - she is also Diamond Fuyu's sister, and is now married to Okaru-Hachi, who has mastered a clever card cheating trick called Okaru, which involves the deft use of mirrors.",0.150875,1963-11-23,0.0,Kanto Wanderer,5.5,4.0,1963,0.0
0.0,70636.0,"Wildly grief-stricken over the accidental death of his parents, young techno-geek Cody (Sasha Andreev) cobbles together an electrical device that he hopes will bring the spirits of mom and dad back from beyond the grave. But the machine's power and Cody's deepening obsession threaten the safety of his only remaining family: his younger brother, James (Max Hauser). Matt Osterman directs this ghostly sci-fi thriller that also stars Matthew Feeney.",0.512435,2010-01-01,0.0,Ghost from the Machine,3.5,6.0,2010,0.0
0.0,96107.0,"A man who lived his life as he was was told he should, not as he would have chosen to, is brought out of his shell by a beautiful young woman.",0.003734,1941-12-18,0.0,"H.M. Pulham, Esq.",0.0,0.0,1941,0.0
0.0,218296.0,"The story is a documentary of research that shows fairly conclusively that plants are actually aware of what goes on around them, even miles away. It is somewhat humorous in the methods it uses to prove the secret life of plants, but thought-provoking in the conclusions it arrives at. The most wonderful thing about the film is the soundtrack. This is original music composed by Stevie Wonder. There is even a scene in the film of Stevie singing one of his songs in a boat on a river. This scene is very moving, as Stevie is blind and yet able to know where he is going. The scene is the climax to the movie, and metaphoric as to what has been presented about plants, that although they don't seem to have senses as human beings and animals do, they are quite well aware of what is going on around them and where they fit into this in the evolutionary process.",0.028347,1979-12-09,0.0,The Secret Life of Plants,8.0,1.0,1979,0.0
0.0,72186.0,"THUNDER SOUL tells the true story of Conrad O. Johnson and the legendary Kashmere Stage Band. It was afros, pleated pants and platform shoes; James Brown, Sly Stone and Bootsy Collins. It was the ’70s, and an inner-city Houston high school was about to make history. Charismatic band leader, Conrad “Prof” Johnson would turn the school’s mediocre jazz band into a legendary, world-class funk powerhouse. Now, 35 years later, his students prepare to pay tribute to the man who changed their lives, the 92-year-old Prof. Some haven’t played their horns in decades, still they dust off their instruments determined to retake the stage to show Prof and the world that they’ve still got it.",0.779376,2010-03-13,0.0,Thunder Soul,8.4,4.0,2010,0.0
2200000.0,9731.0,"Homicidal maniac Jason returns from the grave to cause more bloody mayhem. Young Tommy may have escaped from Crystal Lake, but he’s still haunted by the gruesome events that happened there. When gory murders start happening at the secluded halfway house for troubled teens where he now lives, it seems like his nightmarish nemesis, Jason, is back for more sadistic slaughters. But as things spiral out of control and the body count rises, Tommy begins to wonder if he’s become the killer he fears most.",9.094477,1985-03-22,21930418.0,Friday the 13th: A New Beginning,5.1,200.0,1985,9.968371818181819
0.0,214857.0,"Written by and starring Felicia Day (The Guild), DRAGON AGE: REDEMPTION is a six-part series based on Bioware’s Dragon Age video game franchise. Taking place in the same setting as Dragon Age: Origins and during the same time period as Dragon Age II, DRAGON AGE: REDEMPTION tells a story of sword, sorcery and adventure.  Tallis (Day), an Elvish assassin, gets a last chance at redemption when she is sent to capture a rogue Qunari mage who is intent on wreaking havoc in the world. Complicating her quest is a Chantry Templar, Cairn, whose goals seemingly rival her own. Along the way, through battles and subterfuge, they join forces with a murderous Reaver, Nyree, and a lovelorn Dalish Elf, Josmael, to defeat the mage’s hidden plot or risk massive destruction throughout the world.",0.270341,2011-10-11,0.0,Dragon Age: Redemption,7.0,1.0,2011,0.0
0.0,28528.0,"Jobless sportswriter Eddie Willis is hired by corrupt fight promoter Nick Benko to promote his current protégé, an unknown Argentinian boxer named Toro Moreno. Although Moreno is a hulking giant, his chances for success are hampered by a powder-puff punch and a glass jaw. Exploiting Willis' reputation for integrity and standing in the boxing community, Benko arranges a series of fixed fights that propel the unsophisticated Moreno to #1 contender for the championship. The reigning champ, the sadistic Buddy Brannen, harbors resentment at the publicity Toro has been receiving and vows to viciously punish him in the ring. Eddie must now decide whether or not to tell the naive Toro the truth.",7.300676,1956-05-09,0.0,The Harder They Fall,6.7,26.0,1956,0.0
0.0,26370.0,"Dollan Cannell's documentary on the hundreds of alleged plots to assassinate Fidel Castro, and a look at the evolution of Cuban politics. If the title of this extraordinary film sounds ludicrous, don't be fooled. This film looks at the incredible story of the 638 alleged plots by the CIA and Cuban exiles to kill the Cuban leader Fidel Castro.",0.310085,2006-11-28,0.0,638 Ways to Kill Castro,5.3,6.0,2006,0.0
0.0,114524.0,"In the late 1970s, a mysterious new disease began infecting and killing gay men. Common Threads tells the powerful story of the first decade of the AIDS epidemic, as told through the lives of five very diverse individuals who shared a common fate. Using the monumental NAMES Project AIDS Memorial Quilt as its central metaphor, the film weaves together personal memories and television news stories to expose the U.S. government’s failure to respond to the growing epidemic, and the vibrant protest movement that was born as a result. From the Olympic athlete to the inner-city recovering drug addict, from the conservative naval commander to the New York gay activist to the 11-year-old suburban boy with haemophilia, the film uses intimate details to tell an epic story of love, loss, anger and healing.",0.544277,1989-12-01,0.0,Common Threads: Stories from the Quilt,10.0,2.0,1989,0.0
0.0,64304.0,The Embroidery Bandit is stealing treasures while blinding his victims. The hero Liu Xiaofeng is called in to solve the mystery. The evidence points to the all-woman Clan of the Red Shoes - but appearances can be deceptive....,0.151359,1978-02-19,0.0,Clan of Amazons,6.3,3.0,1978,0.0
0.0,21991.0,"A Hollywood Film unit invades a small Vermont town leading to wholesale abandonment of values and virtue. A smart, warm and funny movie - and not just for movie buffs. Tagline: When a film crew came to Waterford, Vermont - They Shot First And Asked Questions Later.",2.864682,2000-08-26,0.0,State and Main,6.5,55.0,2000,0.0
0.0,43806.0,Abe Lincoln in Illinois is a 1940 biographical film which tells the story of the life of Abraham Lincoln from his departure from Kentucky until his election as President of the United States.,0.793627,1940-02-12,0.0,Abe Lincoln in Illinois,6.0,4.0,1940,0.0
0.0,57343.0,"We all wish we could change the past. For Mel that day has come. In junior high, Mel and Gabby (Sara Rue) were the biggest geeks. Of course, Mel had a crush on the most popular guy, Drew Hesler (Brian A. Green). When word spreads of Mel’s crush, he plays a cruel joke on her pretending to be interested, only to turn her down in front of the entire school. Eleven years later, our ugly ducklings are now swans and Mel is a PR executive. When Mel is assigned to handle the publicity for a new restaurant, she is shocked to discover that the owner is a handsome young entrepreneur named Drew Hesler.",0.941683,2003-06-22,0.0,This Time Around,5.2,11.0,2003,0.0
0.0,112991.0,A young woman learns of her adoption and eventually quits her law firm job and goes on a journey to find her birth mother.,0.001893,2001-01-24,0.0,The Sleepy Time Gal,0.0,0.0,2001,0.0
25000000.0,8338.0,"When a sudden plague of blindness devastates a city, a small group of the afflicted band together to triumphantly overcome the horrific conditions of their imposed quarantine.",7.462378,2008-05-14,19844979.0,Blindness,6.4,393.0,2008,0.79379916
0.0,197602.0,"Narcotics agent Dennis goes undercover in the Mediterranean Islands to investigate a smuggling operation, and gains the confidence of a woman who works for the ringleader. But Dennis ends up arrested for murder when the crime boss turns up dead.",0.33135,1966-02-01,0.0,Death Is a Woman,0.0,0.0,1966,0.0
0.0,21600.0,"A young promoter (Mature) is accused of the murder of Vicky Lynn (Landis), a young actress he ""discovered"" as a waitress while out with ex-actor Robin Ray and gossip columnist Larry Evans.",1.64311,1941-10-31,0.0,I Wake Up Screaming,4.8,8.0,1941,0.0
0.0,185153.0,0,0.0525,1983-01-01,0.0,The Courtesans of Bombay,0.0,0.0,1983,0.0
0.0,10164.0,"Joe's a car salesman with a problem. He has two days to sell 12 cars or he loses his job. This would be a difficult task at the best of times but Joe has to contend with his girlfriends (he's two timing), a missing teenage daughter and an ex-wife. What more could go wrong ?.. a lot, enter a crazy jealous husband with a machine gun...",6.882529,1990-05-18,27575086.0,Cadillac Man,5.3,54.0,1990,0.0
0.0,38615.0,"When a teen tries to set up a band at his school, his mother who was a big fan of Elvis Presley gets in a wreck he and his band members decides to kidnap Elvis and have him hooked up with his mother.",0.732975,1988-09-30,0.0,Heartbreak Hotel,5.7,5.0,1988,0.0
0.0,183049.0,"When Larry Larkin's comic strip needs some freshening up, he calls in ghost-writer Francis X. Dignan to help him with the strip. Things get complicated when Francis rekindles his love for his ex-wife, who happens to be Larkin's secretary and soon-to-be wife.",0.447493,1956-06-04,0.0,That Certain Feeling,6.3,2.0,1956,0.0
1100000.0,27791.0,"A pierced and tattooed sadist, Captain Howdy, trolls the Internet for naive teens, luring them to his home to torture and defile them. When Howdy kidnaps and tortures the daughter of police Detective Mike Gage, he is caught. Deemed insane, he is sent to an asylum but is released soon after, seemingly better. However, Gage knows it is only a matter of time before Howdy strikes again, and he's ready to unleash his own form of retribution when the time comes.",2.31478,1998-10-02,631221.0,Strangeland,4.7,36.0,1998,0.5738372727272727
0.0,64912.0,"Battles Without Honor and Humanity: Final Episode is part five and the final installation of a series of yakuza films directed by Kinji Fukasaku. In the wake of a big police crackdown, Akira Kobayashi's icily sun- glassed Takeda attempts to transform the Hiroshima yakuza families into a legitimate political organization: The Tensei Coalition. When the young Matsumura ascends to the chairmanship of the coalition, the older, hardened yakuza led by Jo Shishido (BRANDED TO KILL) seize one last opportunity to stir up chaos and bloodshed. Culminating with the arrests, deaths, or retirement of the first postwar yakuza generation, this milestone series draws to an ambivalent close.",0.978531,1974-06-29,0.0,"The Yakuza Papers, Vol. 5: Final Episode",6.8,10.0,1974,0.0
0.0,6884.0,Inept beings from the planet Kabijj land on Earth and attempt to behead all of its beings and take over the planet,0.309733,2003-12-03,0.0,Evil Alien Conquerors,4.8,4.0,2003,0.0
0.0,288284.0,"A documentary about the 1951 sci-fi film ""The Day the Earth Stood Still,"" featuring clips from the film and interviews with some of the cast and crew about the making of the film.",0.001177,1995-01-01,0.0,Making the Earth Stand Still,0.0,0.0,1995,0.0
0.0,65131.0,Musical tale about a struggle between a good Scientist and his evil Shadow.,0.241974,1971-09-18,0.0,Shadow,6.4,4.0,1971,0.0
0.0,32077.0,A cop clashes with his priest brother while investigating the brutal murder of a young prostitute,2.73921,1981-09-25,0.0,True Confessions,5.6,31.0,1981,0.0
4000000.0,285025.0,"Belgium, of all places. What's Belgium got besides chocolates and fries? No matter, this year it was Hannes' and Kiki's turn to choose the destination of their annual bike tour with their closest friends. They all looks forward to the adventure, after all they know that what counts the most is the time they spend together. It's only after the tour has begun that Hannes tells his friends that he's suffering from an incurable disease. The trip is to be his last. At first, the group is shocked and helpless, but after they hit the road again, they embark on a wild and one-of-a-kind adventure. Through Hannes, they realize how precious life is. Equipped with a list of things that still remain to do, and aware that nothing will be the same after this trip, they celebrate life as they never did before.",1.609661,2014-08-09,0.0,Tour de Force,7.5,31.0,2014,0.0
0.0,30352.0,"Lou Diamond Phillips and Fred Gwynne team up with a gang of professional criminals who have everything it takes to rob a bank. The only things they do have going for them are a cop and his partner, who are dumber than they are! By the time the gang hits the bank vault, it's a safe bet there's going to be organized insanity and disorganized crime!",1.249626,1989-04-14,0.0,Disorganized Crime,4.7,10.0,1989,0.0
0.0,73262.0,"In 2016 the sun has turned the entire world into a scorched and barren wasteland. The humans who have survived are either resourceful or violent, and sometimes both. Marie, her little sister Leonie, and best friend Phillip, are in a car headed to the mountains - rumor has it there is water there. Along the way they meet Tom, a first-rate mechanic. But can they trust him? Fraught with deep distrust, the group is lured into an ambush where their real battle for survival begins.",4.778934,2011-09-20,0.0,Hell,5.7,76.0,2011,0.0
0.0,66812.0,"A government official, Count Muffat, falls under the spell of Nana, a young actress. She becomes his mistress, living in the sumptuous apartment which he provides for her. Instead of elevating herself to Muffat's level, however, Nana drags the poor man down to hers - in the end, both lives have been utterly destroyed.",0.410031,1926-06-25,0.0,Nana,8.0,3.0,1926,0.0
0.0,12579.0,"Madame Jouve, the narrator, tells the tragedy of Bernard and Mathilde. Bernard was living happily with his wife Arlette and his son Thomas. One day, a couple, Philippe and Mathilde Bauchard, moves into the next house. This is the accidental reunion of Bernard and Mathilde, who had a passionate love affair years ago. The relationship revives... A somber study of human feelings.",9.373676,1981-09-30,0.0,The Woman Next Door,7.0,32.0,1981,0.0
0.0,34453.0,"Jerry Garcia, legendary lead guitarist for the Grateful Dead and David Grisman, virtuoso mandolinist and founder of ""Dawg"" music… Now, for the first time ever, the musical matrimony and extraordinary friendship of Garcia and Grisman is traced in the award-winning documentary Grateful Dawg.",0.052403,2000-10-14,0.0,Grateful Dawg,6.0,1.0,2000,0.0
0.0,119321.0,"When Scooby and the gang hear of a werewolf plaguing a traveling circus, they go undercover as circus performers to get to thebottom the mystery.",2.880905,2012-10-22,0.0,Big Top Scooby-Doo!,6.6,20.0,2012,0.0
21000000.0,168643.0,"The first female US President Sally Sheridan is shot dead by a sniper during her Veterans Day speech. Her assassin narrowly escapes the scene with his life, national security hot on his heels - or so it seems. Three months later, an elderly couple discover the body of a wounded man in a tree, wearing a parachute. The young man cannot remember the slightest thing about his own identity.",2.947094,2008-09-24,0.0,XIII,5.9,43.0,2008,0.0
0.0,40258.0,A parasite crawls into the uterus of an abused woman (Yanka) and begins to demands human blood.,0.252805,1990-01-01,0.0,Baby Blood,6.1,9.0,1990,0.0
0.0,43936.0,Documentary of the S-21 genocide prison in Phnom Penh with interviews of prisoners and guards. On the search for reasons why this could have happened.,0.55558,2003-05-17,0.0,S21: The Khmer Rouge Death Machine,7.4,7.0,2003,0.0
0.0,79435.0,A housewife's (Catherine Deneuve) affair with a younger man (Xavier Beauvois) goes nowhere.,0.203538,1999-03-03,0.0,Night Wind,6.0,4.0,1999,0.0
0.0,52050.0,A pregnant San Francisco Chinese teenage immigrant named Sasha tells of life in America.,0.664931,2008-06-20,0.0,The Princess of Nebraska,5.4,4.0,2008,0.0
0.0,113823.0,"A stewardess becomes romantically involved with an airline pilot, a college professor, and a successful businessman...all of whom are named Mike. When the three find out about each other, she has to decide which one she loves the most.",0.589707,1951-03-01,0.0,Three Guys Named Mike,5.7,3.0,1951,0.0
2000000.0,2072.0,"In the near future Nassim, terrorist leader, storms computer company headquarters. His aim is deadly computer virus that could bring him world domination. Nick, company janitor and ex-cop, will get in his way.",0.152374,1995-09-19,0.0,Cyberjack,7.3,4.0,1995,0.0
0.0,49833.0,0,0.950561,2010-03-12,0.0,Ay Lav Yu,6.0,9.0,2010,0.0
0.0,20053.0,"Boston cop Pally is forced into early retirement, putting a strain on his marriage. Pally's stepbrother, Ray, attempts to lift his spirits by tipping him off to a sure-bet racehorse. But their attempts to secure the champion equine are thwarted by a local mob boss, who steals the horse as repayment for a gambling debt. With their investment on the line, Pally and Ray become entangled in a web of underworld crime and murder.",1.377516,2002-07-23,0.0,Dead Heat,4.8,5.0,2002,0.0
0.0,119819.0,"Jack Thornton has trouble winning enough at cards for the stake he needs to get to the Alaska gold fields. His luck changes when he pays $250 for Buck, a sled dog that is part wolf to keep him from being shot by an arrogant Englishman also headed for the Yukon. En route to the Yukon with Shorty Houlihan -- who spent time in jail for opening someone else's letter with a map of where gold is to be found -- Jack rescues a woman whose husband was the addressee of that letter. Buck helps Jack win a $1,000 bet to get the supplies he needs. And when Jack and Claire Blake pet Buck one night, fingers touch.",1.061454,1935-08-09,0.0,The Call of the Wild,6.0,13.0,1935,0.0
0.0,78522.0,A coven of devil-worshiping monks living in New York City search for victims for their sacrificial ceremonies.,0.063059,1988-01-01,0.0,Prime Evil,4.6,4.0,1988,0.0
0.0,65280.0,"A lawyer, defending a Mafia boss, falls for a beautiful woman with a sad story to tell. She says she's being abused by her brutal husband and she needs his help.",0.005517,1995-07-22,0.0,Body Language,0.0,0.0,1995,0.0
0.0,107966.0,The Bowery Boys take on British crooks when one of them thinks he's inherited a title.,0.058772,1953-05-24,0.0,Loose in London,6.5,1.0,1953,0.0
0.0,96337.0,"Zandy Allan purchases a mail-order bride, Hannah Lund. He treats her as a possession, without respect or humanity, until their shared ordeal as they struggle to survive develops in him a growing love.",0.864361,1974-05-19,0.0,Zandy's Bride,5.8,6.0,1974,0.0
0.0,381615.0,"The second-half of the movie picks up in the present day, seven years later, with Ryan returning home from being on the road touring as a professional singer and Molly working at her father's corporation.",1.995138,2016-03-20,0.0,The Bridge Part 2,5.6,7.0,2016,0.0
0.0,265717.0,0,0.24263,2014-04-20,0.0,Ti sposo ma non troppo,6.4,5.0,2014,0.0
12000000.0,8060.0,"The late 1940s. Richard Langley, a bachelor playboy, narrates a story that starts when his best friend, Harry Allen, invites him to lunch to tell Richard he's in love. Trouble is, Harry's already married to Pat; he worries Pat would be hurt too deeply by a divorce. Then, Harry's new love, Kay, joins them. Richard is smitten, so when he finds out that Pat may be in love with someone else.",2.381704,2007-09-12,0.0,Married Life,6.1,38.0,2007,0.0
0.0,317720.0,"Agasyta, an urban bengali who seamlessly shuttles between Ella Fitzgerald and Rabindra Sangeet, joins the Indian administration service and gets posted in the lap of India's hinterland - a dingy little town called Madna.",0.141795,1994-09-16,0.0,"English, August",9.0,1.0,1994,0.0
15000000.0,133694.0,"A salesman for a natural gas company experiences life-changing events after arriving in a small town, where his corporation wants to tap into the available resources.",7.06378,2012-09-23,8138788.0,Promised Land,6.0,246.0,2012,0.5425858666666666
0.0,10018.0,"After he loses his job, his father, and his girlfriend, Jan's life is a shambles. Then suddenly he meets freakish street musician Vera, and a bittersweet romance unfolds...",0.772622,1997-03-20,0.0,Life Is All You Get,7.3,7.0,1997,0.0
950000.0,60592.0,"Alex's high opinion of himself isn't backed up by reality as he is unemployed and having trouble with his girlfriend. When he finally gets a job with the local council/municipality of Hudiksvall his life is about to change. Suddenly Alex finds himself the leader of a local theatre group of people with learning difficulties. Through their work together, Alex comes to appreciate that we all have our own talents which can grow if given the opportunity and support. ""The Importance of Tying Your Own Shoes"" is based on the work of the Glada Hudik Theatre whose performances have met with success in Sweden and internationally since it was formed in 1996.",0.510589,2011-03-18,0.0,The Importance of Tying Your Own Shoes,5.9,13.0,2011,0.0
0.0,33611.0,"Story is set in World War 2 period, and shows life of two robbers in a war time.",0.171958,2004-02-16,0.0,The Robbery of the Third Reich,4.1,4.0,2004,0.0
0.0,51052.0,"Each Christmas, Santa and his vast army of highly trained elves produce gifts and distribute them around the world in one night. However, when one of 600 million children to receive a gift from Santa on Christmas Eve is missed, it is deemed ‘acceptable’ to all but one – Arthur. Arthur Claus is Santa’s misfit son who executes an unauthorized rookie mission to get the last present half way around the globe before dawn on Christmas morning.",8.453796,2011-02-22,0.0,Arthur Christmas,6.7,340.0,2011,0.0
175000.0,136466.0,"A young woman, struggling with agoraphobia, hasn't left her New York apartment or seen anyone in over a year. However, when her toilet overflows she is forced to call in the plumber.",0.742942,2013-08-23,0.0,Sparrows Dance,7.5,5.0,2013,0.0
0.0,40939.0,"Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",0.036572,1979-10-06,0.0,Alexandria… Why?,5.0,1.0,1979,0.0
0.0,60562.0,"The Bellows family causes comic confusion on an ocean liner, with time out for radio-style musical acts.",0.09058,1938-02-11,0.0,The Big Broadcast of 1938,7.0,1.0,1938,0.0
0.0,25772.0,"A group of women who have been wronged by various men or groups are given a chance at vengeance. One woman, once beaten to a miscarriage, trains these once mistreated women to become artful killers; using their looks to get close to targets. In the end, though, two befriended women find that not all is as it seams and vengeance without conscience is worse then the acts committed by their targets. Deception, reversals, and betrayal on all fronts fill this journey into the minds of the abused; and the world of the dark art of vengeance killing.",0.115571,2006-01-01,0.0,Lethal Angels,5.0,1.0,2006,0.0
0.0,245367.0,The presence of a malicious stranger threatens to destroy the peace and harmony of a vacationing executive's family life.,0.826391,1996-04-03,0.0,Summer of Fear,0.0,0.0,1996,0.0
0.0,343283.0,A story about a strange friendship between 11 years old Maria and an older man Jon.,2.621798,1979-12-15,0.0,I Am Maria,0.0,0.0,1979,0.0
4000000.0,241251.0,"A recently cheated on married woman falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",10.200398,2015-01-23,52425855.0,The Boy Next Door,4.1,1034.0,2015,13.10646375
0.0,24782.0,"Buster is a small time crook who pulls a big time job. When he finds that the police will not let the case drop, he goes into hiding and can't contact his wife and child. He arranges to meet them in Mexico where he thinks they can begin again, but finds that he must choose between his family and freedom.",1.645134,1988-09-16,0.0,Buster,5.5,15.0,1988,0.0
